test case	train case 1	train case 2	train case 3	train case 4
s152_d_2_H_neg	s152_d_2_B_neg	s152_d_2_B_pos	s152_d_2_D_neg	s152_d_2_D_pos
s152_d_2_H_pos	s152_d_2_B_neg	s152_d_2_B_pos	s152_d_2_D_neg	s152_d_2_D_pos
s1_a_2_iv_neg	s1_a_2_i_neg	s1_a_2_i_pos	s1_a_2_ii_neg	s1_a_2_ii_pos
s1_a_2_iv_pos	s1_a_2_i_neg	s1_a_2_i_pos	s1_a_2_ii_neg	s1_a_2_ii_pos
s1_a_2_neg	s1_a_2_i_neg	s1_a_2_i_pos	s1_a_2_ii_neg	s1_a_2_ii_pos
s1_a_2_pos	s1_a_2_i_neg	s1_a_2_i_pos	s1_a_2_ii_neg	s1_a_2_ii_pos
s1_a_2_v_neg	s1_a_2_i_neg	s1_a_2_i_pos	s1_a_2_ii_neg	s1_a_2_ii_pos
s1_a_2_v_pos	s1_a_2_i_neg	s1_a_2_i_pos	s1_a_2_ii_neg	s1_a_2_ii_pos
s1_b_i_neg	s1_b_ii_neg	s1_b_ii_pos	s1_b_iii_neg	s1_b_iii_pos
s1_b_i_pos	s1_b_ii_neg	s1_b_ii_pos	s1_b_iii_neg	s1_b_iii_pos
s1_b_neg	s1_b_ii_neg	s1_b_ii_pos	s1_b_iii_neg	s1_b_iii_pos
s1_b_pos	s1_b_ii_neg	s1_b_ii_pos	s1_b_iii_neg	s1_b_iii_pos
s1_c_iii_neg	s1_c_ii_neg	s1_c_ii_pos	s1_c_i_neg	s1_c_i_pos
s1_c_iii_pos	s1_c_ii_neg	s1_c_ii_pos	s1_c_i_neg	s1_c_i_pos
s1_c_neg	s1_c_i_neg	s1_c_i_pos	s1_c_ii_neg	s1_c_ii_pos
s1_c_pos	s1_c_i_neg	s1_c_i_pos	s1_c_ii_neg	s1_c_ii_pos
s1_d_i_neg	s1_d_iii_neg	s1_d_iii_pos	s1_d_iv_neg	s1_d_iv_pos
s1_d_i_pos	s1_d_iii_neg	s1_d_iii_pos	s1_d_iv_neg	s1_d_iv_pos
s1_d_ii_neg	s1_d_iii_neg	s1_d_iii_pos	s1_d_iv_neg	s1_d_iv_pos
s1_d_ii_pos	s1_d_iii_neg	s1_d_iii_pos	s1_d_iv_neg	s1_d_iv_pos
s1_d_neg	s1_d_iii_neg	s1_d_iii_pos	s1_d_iv_neg	s1_d_iv_pos
s1_d_pos	s1_d_iii_neg	s1_d_iii_pos	s1_d_iv_neg	s1_d_iv_pos
s2_a_1_B_neg	s2_a_1_A_neg	s2_a_1_A_pos	s2_a_2_A_neg	s2_a_2_A_pos
s2_a_1_B_pos	s2_a_1_A_neg	s2_a_1_A_pos	s2_a_2_A_neg	s2_a_2_A_pos
s2_b_1_A_i_II_neg	s2_b_1_A_neg	s2_b_1_A_pos	s2_b_1_B_neg	s2_b_1_B_pos
s2_b_1_A_i_II_pos	s2_b_1_A_neg	s2_b_1_A_pos	s2_b_1_B_neg	s2_b_1_B_pos
s2_b_1_A_i_I_neg	s2_b_1_A_neg	s2_b_1_A_pos	s2_b_1_B_neg	s2_b_1_B_pos
s2_b_1_A_i_I_pos	s2_b_1_A_neg	s2_b_1_A_pos	s2_b_1_B_neg	s2_b_1_B_pos
s2_b_1_A_i_neg	s2_b_1_A_neg	s2_b_1_A_pos	s2_b_1_B_neg	s2_b_1_B_pos
s2_b_1_A_i_pos	s2_b_1_A_neg	s2_b_1_A_pos	s2_b_1_B_neg	s2_b_1_B_pos
s2_b_1_A_ii_neg	s2_b_1_A_neg	s2_b_1_A_pos	s2_b_1_B_neg	s2_b_1_B_pos
s2_b_1_A_ii_pos	s2_b_1_A_neg	s2_b_1_A_pos	s2_b_1_B_neg	s2_b_1_B_pos
s2_b_3_A_neg	s2_b_3_B_neg	s2_b_3_B_pos	s2_b_1_A_neg	s2_b_1_A_pos
s2_b_3_A_pos	s2_b_3_B_neg	s2_b_3_B_pos	s2_b_1_A_neg	s2_b_1_A_pos
s3301_neg	s3306_a_1_A_neg	s3306_a_1_A_pos	s3306_a_1_neg	s3306_a_1_pos
s3301_pos	s3306_a_1_A_neg	s3306_a_1_A_pos	s3306_a_1_neg	s3306_a_1_pos
s3306_a_1_B_neg	s3306_a_1_A_neg	s3306_a_1_A_pos	s3306_a_1_neg	s3306_a_1_pos
s3306_a_1_B_pos	s3306_a_1_A_neg	s3306_a_1_A_pos	s3306_a_1_neg	s3306_a_1_pos
s3306_a_3_neg	s3306_a_1_A_neg	s3306_a_1_A_pos	s3306_a_1_neg	s3306_a_1_pos
s3306_a_3_pos	s3306_a_1_A_neg	s3306_a_1_A_pos	s3306_a_1_neg	s3306_a_1_pos
s3306_b_2_C_neg	s3306_b_2_A_neg	s3306_b_2_A_pos	s3306_b_10_A_neg	s3306_b_10_A_pos
s3306_b_2_C_pos	s3306_b_2_A_neg	s3306_b_2_A_pos	s3306_b_10_A_neg	s3306_b_10_A_pos
s3306_c_10_B_neg	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_10_B_pos	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_11_neg	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_11_pos	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_16_neg	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_16_pos	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_1_B_neg	s3306_c_1_A_i_neg	s3306_c_1_A_i_pos	s3306_c_1_neg	s3306_c_1_pos
s3306_c_1_B_pos	s3306_c_1_A_i_neg	s3306_c_1_A_i_pos	s3306_c_1_neg	s3306_c_1_pos
s3306_c_6_neg	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_6_pos	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_7_neg	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_7_pos	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_B_neg	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s3306_c_B_pos	s3306_c_10_A_i_neg	s3306_c_10_A_i_pos	s3306_c_10_A_ii_neg	s3306_c_10_A_ii_pos
s63_b_neg	s63_a_neg	s63_a_pos	s63_c_1_neg	s63_c_1_pos
s63_b_pos	s63_a_neg	s63_a_pos	s63_c_1_neg	s63_c_1_pos
s63_c_2_A_i_neg	s63_c_2_B_neg	s63_c_2_B_pos	s63_c_2_C_neg	s63_c_2_C_pos
s63_c_2_A_i_pos	s63_c_2_B_neg	s63_c_2_B_pos	s63_c_2_C_neg	s63_c_2_C_pos
s63_c_2_A_ii_neg	s63_c_2_B_neg	s63_c_2_B_pos	s63_c_2_C_neg	s63_c_2_C_pos
s63_c_2_A_ii_pos	s63_c_2_B_neg	s63_c_2_B_pos	s63_c_2_C_neg	s63_c_2_C_pos
s63_c_6_B_neg	s63_c_6_A_neg	s63_c_6_A_pos	s63_c_1_neg	s63_c_1_pos
s63_c_6_B_pos	s63_c_6_A_neg	s63_c_6_A_pos	s63_c_1_neg	s63_c_1_pos
s63_c_6_D_neg	s63_c_6_A_neg	s63_c_6_A_pos	s63_c_1_neg	s63_c_1_pos
s63_c_6_D_pos	s63_c_6_A_neg	s63_c_6_A_pos	s63_c_1_neg	s63_c_1_pos
s63_c_7_i_neg	s63_c_7_ii_neg	s63_c_7_ii_pos	s63_c_1_neg	s63_c_1_pos
s63_c_7_i_pos	s63_c_7_ii_neg	s63_c_7_ii_pos	s63_c_1_neg	s63_c_1_pos
s63_f_1_A_neg	s63_f_1_B_neg	s63_f_1_B_pos	s63_f_2_A_neg	s63_f_2_A_pos
s63_f_1_A_pos	s63_f_1_B_neg	s63_f_1_B_pos	s63_f_2_A_neg	s63_f_2_A_pos
s63_f_2_B_neg	s63_f_2_A_neg	s63_f_2_A_pos	s63_f_1_B_neg	s63_f_1_B_pos
s63_f_2_B_pos	s63_f_2_A_neg	s63_f_2_A_pos	s63_f_1_B_neg	s63_f_1_B_pos
s68_a_2_neg	s68_a_1_neg	s68_a_1_pos	s68_b_1_A_neg	s68_b_1_A_pos
s68_a_2_pos	s68_a_1_neg	s68_a_1_pos	s68_b_1_A_neg	s68_b_1_A_pos
s68_b_1_B_neg	s68_b_1_A_neg	s68_b_1_A_pos	s68_b_1_D_neg	s68_b_1_D_pos
s68_b_1_B_pos	s68_b_1_A_neg	s68_b_1_A_pos	s68_b_1_D_neg	s68_b_1_D_pos
s68_b_1_C_neg	s68_b_1_A_neg	s68_b_1_A_pos	s68_b_1_D_neg	s68_b_1_D_pos
s68_b_1_C_pos	s68_b_1_A_neg	s68_b_1_A_pos	s68_b_1_D_neg	s68_b_1_D_pos
s7703_a_1_neg	s7703_a_2_neg	s7703_a_2_pos	s7703_b_1_neg	s7703_b_1_pos
s7703_a_1_pos	s7703_a_2_neg	s7703_a_2_pos	s7703_b_1_neg	s7703_b_1_pos
s7703_b_2_neg	s7703_b_1_neg	s7703_b_1_pos	s7703_b_3_neg	s7703_b_3_pos
s7703_b_2_pos	s7703_b_1_neg	s7703_b_1_pos	s7703_b_3_neg	s7703_b_3_pos
